id	description	description_en	description_zh-CN	description_zh-TW	popup_text	popup_text_en	popup_text_zh-CN	popup_text_zh-TW
120010050	火属性キャラ以外の素早さDOWN	Reduces SPD of characters without Fire affinity.	火属性角色以外敏捷下降。	火屬性以外角色的敏捷下降。				
120010051	単体攻撃で受けるダメージをUP	Boosts damage received from single-target attacks.	所受单体攻击伤害提升。	所受單體攻擊傷害上升。				
120010052	単体攻撃で受けるダメージをUP	Boosts damage received from single-target attacks.	所受单体攻击伤害提升。	所受單體攻擊傷害上升。				
120010053	火属性キャラの与ダメージUP	Boosts damage dealt by characters with Fire affinity.	火属性角色造成伤害提升。	火屬性角色的給予傷害上升。				
120010054	火属性以外の与回復量DOWN	Reduces recovery given to all characters without Fire affinity.	火属性以外恢复量下降。	火屬性以外角色的提供回復量下降。				
120010055	火属性サポーターのバフ効果量UP	Boosts potency of buffs from Fire Supporters.	火属性支援者增益效果量提升。	火屬性支援者的增益效果量上升。				
120010056	火属性以外の与回復量DOWN	Reduces recovery given to all characters without Fire affinity.	火属性以外恢复量下降。	火屬性以外角色的提供回復量下降。				
120010057	火属性サポーターのバフ効果量UP	Boosts potency of buffs from Fire Supporters.	火属性支援者增益效果量提升。	火屬性支援者的增益效果量上升。				
120010058	被弾時クリティカルUP付与	Boosts critical rate when hit.	受到攻击时赋予暴击提升。	被擊中時賦予重擊上升。				
120010059	被弾時クリティカルUP付与	Boosts critical rate when hit.	受到攻击时赋予暴击提升。	被擊中時賦予重擊上升。				
120010060	火属性キャラの被回復量UP	Boosts recovery received by characters with Fire affinity.	火属性角色的所受恢复量提升。	火屬性角色的接受回復量上升。				
120010061	風属性キャラの与ダメージUP	Boosts damage dealt by characters with Air affinity.	风属性角色造成伤害提升。	風屬性角色的給予傷害上升。				
120010062	風属性キャラのブレイクダメージUP	Boosts stun damage by characters with Air affinity.	风属性角色破防伤害提升。	風屬性角色的破防傷害上升。				
120010063	風キャラのブレイク中のスキルダメージUP	Boosts skill damage to stunned targets for characters with Air affinity.	风属性角色破防状态下技能伤害提升。	風屬性角色破防中時，技能傷害上升。				
120010064	風属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Air Supporters.	风属性支援者给予的增益效果量提升。	風屬性支援者的賦予增益效果量上升。				
120010065	風属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Air Supporters.	风属性支援者给予的减益效果量提升。	風屬性支援者的賦予減益效果量上升。				
120010066	風属性キャラの被回復量UP	Boosts recovery received by characters with Air affinity.	风属性角色所受恢复量提升。	風屬性角色的接受回復量上升。				
120010067	風属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Air affinity.	风属性角色单体攻击造成伤害提升。	風屬性角色的單體攻擊給予傷害上升。				
120010068	風属性キャラの与ダメージUP	Boosts damage dealt by characters with Air affinity.	风属性角色造成伤害提升。	風屬性角色的給予傷害上升。				
120010069	風属性キャラの被回復量UP	Boosts recovery received by characters with Air affinity.	风属性角色所受恢复量提升。	風屬性角色的接受回復量上升。				
120010070	風属性キャラの与ダメージUP	Boosts damage dealt by characters with Air affinity.	风属性角色造成伤害提升。	風屬性角色的給予傷害上升。				
120010071	風属性キャラのブレイクダメージUP	Boosts stun damage by characters with Air affinity.	风属性角色破防伤害提升。	風屬性角色的破防傷害上升。				
120010073	風属性キャラの麻痺状態敵への与ダメージUP	Boosts damage dealt to paralyzed enemies by characters with Air affinity.	风属性角色对麻痹状态敌人造成伤害提升。	風屬性角色對麻痺狀態的敵人給予傷害上升。				
120010074	風属性キャラの与ダメージUP	Boosts damage dealt by characters with Air affinity.	风属性角色造成伤害提升。	風屬性角色的給予傷害上升。				
120010075	風属性キャラのブレイクダメージUP	Boosts stun damage by characters with Air affinity.	风属性角色破防伤害提升。	風屬性角色的破防傷害上升。				
120010076	ブレイク中の相手への風属性ダメージUP	Boosts Air damage to stunned opponents.	对破防状态对手造成的风属性伤害提升。	對破防中的對象風屬性傷害上升。				
120010077	風属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Air Supporters.	风属性支援者给予的增益效果量提升。	風屬性支援者的賦予增益效果量上升。				
120010078	風属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Air Supporters.	风属性支援者给予的减益效果量提升。	風屬性支援者的賦予減益效果量上升。				
120010079	風属性キャラの被回復量UP	Boosts recovery received by characters with Air affinity.	风属性角色所受恢复量提升。	風屬性角色的接受回復量上升。				
120010080	風属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Air affinity.	风属性角色单体攻击造成伤害提升。	風屬性角色的單體攻擊給予傷害上升。				
120010081	風属性キャラの与ダメージUP	Boosts damage dealt by characters with Air affinity.	风属性角色造成伤害提升。	風屬性角色的給予傷害上升。				
120010082	風属性キャラの被回復量UP	Boosts recovery received by characters with Air affinity.	风属性角色所受恢复量提升。	風屬性角色的接受回復量上升。				
120010083	風属性キャラの与ダメージUP	Boosts damage dealt by characters with Air affinity.	风属性角色造成伤害提升。	風屬性角色的給予傷害上升。				
120010084	風属性キャラのブレイクダメージUP	Boosts stun damage by characters with Air affinity.	风属性角色破防伤害提升。	風屬性角色的破防傷害上升。				
120010086	風属性キャラの麻痺状態敵への与ダメージUP	Boosts damage dealt to paralyzed enemies by characters with Air affinity.	风属性角色对麻痹状态敌人造成伤害提升。	風屬性角色對麻痺狀態的敵人給予傷害上升。				
120010087	風属性キャラ以外の与ダメージ減少	Reduces damage dealt by characters without Air affinity.	风属性角色以外造成伤害减少。	風屬性以外角色的給予傷害減少。				
120010088	風属性キャラ以外の物攻DOWN	Reduces P. ATK of characters without Air affinity.	风属性角色以外物攻下降。	風屬性以外角色的物攻下降。				
120010089	風属性キャラ以外の魔攻DOWN	Reduces M. ATK of characters without Air affinity.	风属性角色以外魔攻下降。	風屬性以外角色的魔攻下降。				
120010090	風属性キャラ以外の物防DOWN	Reduces P. DEF of characters without Air affinity.	风属性角色以外物防下降。	風屬性以外角色的物防下降。				
120010091	風属性キャラ以外の魔防DOWN	Reduces M. DEF of characters without Air affinity.	风属性角色以外魔防下降。	風屬性以外角色的魔防下降。				
120010092	風属性キャラ以外の素早さDOWN	Reduces SPD of characters without Air affinity.	风属性角色以外敏捷下降。	風屬性以外角色的敏捷下降。				
120010093	風属性アタッカーの与ダメージUP	Boosts damage dealt by Air Attackers.	风属性攻击者造成伤害提升。	風屬性攻擊者的給予傷害上升。				
120010094	風属性アタッカーの与ダメージUP	Boosts damage dealt by Air Attackers.	风属性攻击者造成伤害提升。	風屬性攻擊者的給予傷害上升。				
120010095	風キャラのブレイク中のスキルダメージUP	Boosts skill damage to stunned targets for characters with Air affinity.	风属性角色破防状态下技能伤害提升。	風屬性角色破防中時，技能傷害上升。				
120010096	風サポーターのバフ効果量UP	Boosts potency of buffs from Air Supporters.	风支援者增益效果量提升。	風屬性支援者的增益效果量上升。				
120010097	風サポーターのデバフ効果量UP	Boosts potency of debuffs from Air Supporters.	风支援者减益效果量提升。	風屬性支援者的減益效果量上升。				
120010098	ブレイク発生時味方全体に与ダメージUP付与	Boosts all allies' damage dealt on successful stun.	破防发动时，赋予我方全体造成伤害提升。	破防發生時，賦予我方全體給予傷害上升。				
120010099	手番開始時HP回復	Restores HP at the start of the turn.	回合开始时恢复HP。	行動回合開始時回復HP。				
120010100	ブレイク発生時味方全体に与ダメージUP付与	Boosts all allies' damage dealt on successful stun.	破防发动时，赋予我方全体造成伤害提升。	破防發生時，賦予我方全體給予傷害上升。				
120010101	氷属性キャラの与ダメージUP	Boosts damage dealt by characters with Ice affinity.	冰属性角色造成伤害提升。	冰屬性角色的給予傷害上升。				
120010102	氷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Ice affinity.	冰属性角色破防伤害提升。	冰屬性角色的破防傷害上升。				
120010103	ブレイク中の相手への氷属性ダメージUP	Boosts Ice damage to stunned opponents.	对破防状态对手造成的冰属性伤害提升。	對破防中的對象冰屬性傷害上升。				
120010104	氷属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Ice Supporters.	冰属性支援者给予的增益效果量提升。	冰屬性支援者的賦予增益效果量上升。				
120010105	氷属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Ice Supporters.	冰属性支援者给予的减益效果量提升。	冰屬性支援者的賦予減益效果量上升。				
120010106	氷属性キャラの被回復量UP	Boosts recovery received by characters with Ice affinity.	冰属性角色所受恢复量提升。	冰屬性角色的接受回復量上升。				
120010107	氷属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Ice affinity.	冰属性角色单体攻击造成伤害提升。	冰屬性角色的單體攻擊給予傷害上升。				
120010108	氷属性キャラの与ダメージUP	Boosts damage dealt by characters with Ice affinity.	冰属性角色造成伤害提升。	冰屬性角色的給予傷害上升。				
120010109	氷属性キャラの被回復量UP	Boosts recovery received by characters with Ice affinity.	冰属性角色所受恢复量提升。	冰屬性角色的接受回復量上升。				
120010110	氷属性キャラの与ダメージUP	Boosts damage dealt by characters with Ice affinity.	冰属性角色造成伤害提升。	冰屬性角色的給予傷害上升。				
120010111	氷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Ice affinity.	冰属性角色破防伤害提升。	冰屬性角色的破防傷害上升。				
120010113	氷属性キャラの麻痺状態敵への与ダメージUP	Boosts damage dealt to paralyzed enemies by characters with Ice affinity.	冰属性角色对麻痹状态敌人造成伤害提升。	冰屬性角色對麻痺狀態的敵人給予傷害上升。				
120010114	氷属性キャラの与ダメージUP	Boosts damage dealt by characters with Ice affinity.	冰属性角色造成伤害提升。	冰屬性角色的給予傷害上升。				
120010115	氷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Ice affinity.	冰属性角色破防伤害提升。	冰屬性角色的破防傷害上升。				
120010116	ブレイク中の相手への氷属性ダメージUP	Boosts Ice damage to stunned opponents.	对破防状态对手造成的冰属性伤害提升。	對破防中的對象冰屬性傷害上升。				
120010117	氷属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Ice Supporters.	冰属性支援者给予的增益效果量提升。	冰屬性支援者的賦予增益效果量上升。				
120010118	氷属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Ice Supporters.	冰属性支援者给予的减益效果量提升。	冰屬性支援者的賦予減益效果量上升。				
120010119	氷属性キャラの被回復量UP	Boosts recovery received by characters with Ice affinity.	冰属性角色所受恢复量提升。	冰屬性角色的接受回復量上升。				
120010120	氷属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Ice affinity.	冰属性角色单体攻击造成伤害提升。	冰屬性角色的單體攻擊給予傷害上升。				
120010121	氷属性キャラの与ダメージUP	Boosts damage dealt by characters with Ice affinity.	冰属性角色造成伤害提升。	冰屬性角色的給予傷害上升。				
120010122	氷属性キャラの被回復量UP	Boosts recovery received by characters with Ice affinity.	冰属性角色所受恢复量提升。	冰屬性角色的接受回復量上升。				
120010123	氷属性キャラの与ダメージUP	Boosts damage dealt by characters with Ice affinity.	冰属性角色造成伤害提升。	冰屬性角色的給予傷害上升。				
120010124	氷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Ice affinity.	冰属性角色破防伤害提升。	冰屬性角色的破防傷害上升。				
120010126	氷属性キャラの麻痺状態敵への与ダメージUP	Boosts damage dealt to paralyzed enemies by characters with Ice affinity.	冰属性角色对麻痹状态敌人造成伤害提升。	冰屬性角色對麻痺狀態的敵人給予傷害上升。				
120010127	氷属性キャラ以外の与ダメージ減少	Reduces damage dealt by characters without Ice affinity.	冰属性角色以外造成伤害减少。	冰屬性以外角色的給予傷害減少。				
120010128	氷属性キャラ以外の物攻DOWN	Reduces P. ATK of characters without Ice affinity.	冰属性角色以外物攻下降。	冰屬性以外角色的物攻下降。				
120010129	氷属性キャラ以外の魔攻DOWN	Reduces M. ATK of characters without Ice affinity.	冰属性角色以外魔攻下降。	冰屬性以外角色的魔攻下降。				
120010130	氷属性キャラ以外の物防DOWN	Reduces P. DEF of characters without Ice affinity.	冰属性角色以外物防下降。	冰屬性以外角色的物防下降。				
120010131	氷属性キャラ以外の魔防DOWN	Reduces M. DEF of characters without Ice affinity.	冰属性角色以外魔防下降。	冰屬性以外角色的魔防下降。				
120010132	氷属性キャラ以外の素早さDOWN	Reduces SPD of characters without Ice affinity.	冰属性角色以外敏捷下降。	冰屬性以外角色的敏捷下降。				
120010133	自身に毒5回付与	Inflicts Poison on self for 5 turns.	赋予自身5次中毒。	賦予自身中毒5次。				
120010134	氷属性キャラバーストスキルの与ダメUP	Boosts burst skill damage dealt by characters with Ice affinity.	冰属性角色爆发技能造成伤害提升。	冰屬性角色的爆發技能給予傷害上升。				
120010135	自身に毒5回付与	Inflicts Poison on self for 5 turns.	赋予自身5次中毒。	賦予自身中毒5次。				
120010136	氷属性キャラバーストスキルの与ダメUP	Boosts burst skill damage dealt by characters with Ice affinity.	冰属性角色爆发技能造成伤害提升。	冰屬性角色的爆發技能給予傷害上升。				
120010137	氷属性キャラの被回復量UP	Boosts recovery received by characters with Ice affinity.	冰属性角色所受恢复量提升。	冰屬性角色的接受回復量上升。				
120010138	氷耐性DOWN持ちの相手への与ダメUP	Boosts damage dealt to opponents with reduced Ice resistance.	对带有冰耐性下降的对手造成伤害提升。	對具有冰耐性下降的對象給予傷害上升。				
120010139	氷耐性DOWN持ちの相手への与ダメUP	Boosts damage dealt to opponents with reduced Ice resistance.	对带有冰耐性下降的对手造成伤害提升。	對具有冰耐性下降的對象給予傷害上升。				
120010140	状態異常の対象への与ダメージUP	Boosts damage dealt to targets with status effects.	对陷入异常状态的目标造成伤害提升。	對異常狀態的目標給予傷害上升。				
120010141	氷属性キャラの与えるプラス効果量上昇	Boosts potency of positive effects from characters with Ice affinity.	冰属性角色给予的正面效果量提升。	冰屬性角色的賦予加強效果量上升。				
120010142	状態異常の対象への与ダメージUP	Boosts damage dealt to targets with status effects.	对陷入异常状态的目标造成伤害提升。	對異常狀態的目標給予傷害上升。				
120010143	氷属性キャラの与えるプラス効果量上昇	Boosts potency of positive effects from characters with Ice affinity.	冰属性角色给予的正面效果量提升。	冰屬性角色的賦予加強效果量上升。				
120010144	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010145	雷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Bolt affinity.	雷属性角色破防伤害提升。	雷屬性角色的破防傷害上升。				
120010146	ブレイク中の相手への雷属性ダメージUP	Boosts Bolt damage to stunned opponents.	对破防状态对手造成的雷属性伤害提升。	對破防中的對象雷屬性傷害上升。				
120010147	雷属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Bolt Supporters.	雷属性支援者给予的增益效果量提升。	雷屬性支援者的賦予增益效果量上升。				
120010148	雷属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Bolt Supporters.	雷属性支援者给予的减益效果量提升。	雷屬性支援者的賦予減益效果量上升。				
120010149	雷属性キャラの被回復量UP	Boosts recovery received by characters with Bolt affinity.	雷属性角色所受恢复量提升。	雷屬性角色的接受回復量上升。				
120010150	雷属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Bolt affinity.	雷属性角色单体攻击造成伤害提升。	雷屬性角色的單體攻擊給予傷害上升。				
120010151	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010152	雷属性キャラの被回復量UP	Boosts recovery received by characters with Bolt affinity.	雷属性角色所受恢复量提升。	雷屬性角色的接受回復量上升。				
120010153	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010154	雷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Bolt affinity.	雷属性角色破防伤害提升。	雷屬性角色的破防傷害上升。				
120010156	雷属性キャラの麻痺状態敵への与ダメージUP	Boosts damage dealt to paralyzed enemies by characters with Bolt affinity.	雷属性角色对麻痹状态敌人造成伤害提升。	雷屬性角色對麻痺狀態的敵人給予傷害上升。				
120010157	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010158	雷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Bolt affinity.	雷属性角色破防伤害提升。	雷屬性角色的破防傷害上升。				
120010159	ブレイク中の相手への雷属性ダメージUP	Boosts Bolt damage to stunned opponents.	对破防状态对手造成的雷属性伤害提升。	對破防中的對象雷屬性傷害上升。				
120010160	雷属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Bolt Supporters.	雷属性支援者给予的增益效果量提升。	雷屬性支援者的賦予增益效果量上升。				
120010161	雷属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Bolt Supporters.	雷属性支援者给予的减益效果量提升。	雷屬性支援者的賦予減益效果量上升。				
120010162	雷属性キャラの被回復量UP	Boosts recovery received by characters with Bolt affinity.	雷属性角色所受恢复量提升。	雷屬性角色的接受回復量上升。				
120010163	雷属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Bolt affinity.	雷属性角色单体攻击造成伤害提升。	雷屬性角色的單體攻擊給予傷害上升。				
120010164	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010165	雷属性キャラの被回復量UP	Boosts recovery received by characters with Bolt affinity.	雷属性角色所受恢复量提升。	雷屬性角色的接受回復量上升。				
120010166	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010167	雷属性キャラのブレイクダメージUP	Boosts stun damage by characters with Bolt affinity.	雷属性角色破防伤害提升。	雷屬性角色的破防傷害上升。				
120010169	雷属性キャラの麻痺状態敵への与ダメージUP	Boosts damage dealt to paralyzed enemies by characters with Bolt affinity.	雷属性角色对麻痹状态敌人造成伤害提升。	雷屬性角色對麻痺狀態的敵人給予傷害上升。				
120010170	雷属性キャラ以外の与ダメージ減少	Reduces damage dealt by characters without Bolt affinity.	雷属性角色以外造成伤害减少。	雷屬性以外角色的給予傷害減少。				
120010171	雷属性キャラ以外の物攻DOWN	Reduces P. ATK of characters without Bolt affinity.	雷属性角色以外物攻下降。	雷屬性以外角色的物攻下降。				
120010172	雷属性キャラ以外の魔攻DOWN	Reduces M. ATK of characters without Bolt affinity.	雷属性角色以外魔攻下降。	雷屬性以外角色的魔攻下降。				
120010173	雷属性キャラ以外の物防DOWN	Reduces P. DEF of characters without Bolt affinity.	雷属性角色以外物防下降。	雷屬性以外角色的物防下降。				
120010174	雷属性キャラ以外の魔防DOWN	Reduces M. DEF of characters without Bolt affinity.	雷属性角色以外魔防下降。	雷屬性以外角色的魔防下降。				
120010175	雷属性キャラ以外の素早さDOWN	Reduces SPD of characters without Bolt affinity.	雷属性角色以外敏捷下降。	雷屬性以外角色的敏捷下降。				
120010176	雷キャラのクリティカルダメージUP	Boosts critical damage of characters with Bolt affinity.	雷角色暴击伤害提升。	雷屬性角色的重擊傷害上升。				
120010177	自身にプラス効果が3つ以上ある時被ダメージ軽減	When 3 or more positive effects are active on self, reduces damage received.	自身有不低于3个正面效果时，所受伤害减轻。	自身的加強效果在3個以上時，減輕所受傷害。				
120010178	ディフェンダーの付与するマイナス効果量UP	Boosts potency of negative effects from Defenders.	防御者赋予的负面效果量提升。	防禦者賦予的減弱效果量上升。				
120010179	状態異常の相手への与ダメージUP	Boosts damage dealt when opponent has a status effect.	对异常状态目标造成伤害提升。	對異常狀態的對象給予傷害上升。				
120010180	ブレイク時与ダメージUP(上限150%)付与	Boosts damage dealt on stun. (MAX 150%)	赋予破防时造成伤害提升（上限150%）。	破防時賦予給予傷害上升（上限150%）。				
120010181	雷キャラのクリティカルダメージUP	Boosts critical damage of characters with Bolt affinity.	雷角色暴击伤害提升。	雷屬性角色的重擊傷害上升。				
120010182	自身にプラス効果が3つ以上ある時被ダメージ軽減	When 3 or more positive effects are active on self, reduces damage received.	自身有不低于3个正面效果时，所受伤害减轻。	自身的加強效果在3個以上時，減輕所受傷害。				
120010183	雷属性キャラの与ダメージUP	Boosts damage dealt by characters with Bolt affinity.	雷属性角色造成伤害提升。	雷屬性角色的給予傷害上升。				
120010184	ディフェンダーの付与するマイナス効果量UP	Boosts potency of negative effects from Defenders.	防御者赋予的负面效果量提升。	防禦者賦予的減弱效果量上升。				
120010185	状態異常の相手への雷ダメージUP	Boosts Bolt damage when opponent has a status effect.	对异常状态目标的雷伤害提升。	對異常狀態的對象雷屬性傷害上升。				
120010186	ブレイク時与ダメージUP付与	Boosts damage dealt on stun.	赋予破防时伤害提升。	破防時賦予給予傷害上升。				
120010187	斬属性キャラの与ダメージUP	Boosts damage dealt by characters with Slash affinity.	斩击属性角色造成伤害提升。	斬屬性角色的給予傷害上升。				
120010188	斬属性キャラのブレイクダメージUP	Boosts stun damage by characters with Slash affinity.	斩击属性角色破防伤害提升。	斬屬性角色的破防傷害上升。				
120010189	ブレイク中の相手への斬属性ダメージUP	Boosts Slash damage to stunned opponents.	对破防状态对手造成的斩击属性伤害提升。	對破防中的對象斬屬性傷害上升。				
120010190	斬属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Slash Supporters.	斩击属性支援者给予的增益效果量提升。	斬屬性支援者的賦予增益效果量上升。				
120010191	斬属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Slash Supporters.	斩击属性支援者给予的减益效果量提升。	斬屬性支援者的賦予減益效果量上升。				
120010192	斬属性キャラの被回復量UP	Boosts recovery received by characters with Slash affinity.	斩击属性角色所受恢复量提升。	斬屬性角色的接受回復量上升。				
120010193	斬属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Slash affinity.	斩击属性角色单体攻击造成伤害提升。	斬屬性角色的單體攻擊給予傷害上升。				
120010194	斬属性キャラの与ダメージUP	Boosts damage dealt by characters with Slash affinity.	斩击属性角色造成伤害提升。	斬屬性角色的給予傷害上升。				
120010195	斬属性キャラの被回復量UP	Boosts recovery received by characters with Slash affinity.	斩击属性角色所受恢复量提升。	斬屬性角色的接受回復量上升。				
120010196	斬属性キャラの与ダメージUP	Boosts damage dealt by characters with Slash affinity.	斩击属性角色造成伤害提升。	斬屬性角色的給予傷害上升。				
120010197	斬属性キャラのブレイクダメージUP	Boosts stun damage by characters with Slash affinity.	斩击属性角色破防伤害提升。	斬屬性角色的破防傷害上升。				
120010198	斬属性キャラの毒状態敵への与ダメージUP	Boosts damage dealt to poisoned enemies by characters with Slash affinity.	斩击属性角色对中毒状态敌人造成伤害提升。	斬屬性角色對中毒狀態的敵人給予傷害上升。				
120010200	斬属性キャラの与ダメージUP	Boosts damage dealt by characters with Slash affinity.	斩击属性角色造成伤害提升。	斬屬性角色的給予傷害上升。				
120010201	斬属性キャラのブレイクダメージUP	Boosts stun damage by characters with Slash affinity.	斩击属性角色破防伤害提升。	斬屬性角色的破防傷害上升。				
120010202	ブレイク中の相手への斬属性ダメージUP	Boosts Slash damage to stunned opponents.	对破防状态对手造成的斩击属性伤害提升。	對破防中的對象斬屬性傷害上升。				
120010203	斬属性サポーターの与バフ効果量UP	Boosts potency of buffs given by Slash Supporters.	斩击属性支援者给予的增益效果量提升。	斬屬性支援者的賦予增益效果量上升。				
120010204	斬属性サポーターの与デバフ効果量UP	Boosts potency of debuffs inflicted by Slash Supporters.	斩击属性支援者给予的减益效果量提升。	斬屬性支援者的賦予減益效果量上升。				
120010205	斬属性キャラの被回復量UP	Boosts recovery received by characters with Slash affinity.	斩击属性角色所受恢复量提升。	斬屬性角色的接受回復量上升。				
120010206	斬属性キャラの単体攻撃与ダメージUP	Boosts single-target attack damage dealt by characters with Slash affinity.	斩击属性角色单体攻击造成伤害提升。	斬屬性角色的單體攻擊給予傷害上升。				
120010207	斬属性キャラの与ダメージUP	Boosts damage dealt by characters with Slash affinity.	斩击属性角色造成伤害提升。	斬屬性角色的給予傷害上升。				
120010208	斬属性キャラの被回復量UP	Boosts recovery received by characters with Slash affinity.	斩击属性角色所受恢复量提升。	斬屬性角色的接受回復量上升。				
120010209	斬属性キャラの与ダメージUP	Boosts damage dealt by characters with Slash affinity.	斩击属性角色造成伤害提升。	斬屬性角色的給予傷害上升。				
120010210	斬属性キャラのブレイクダメージUP	Boosts stun damage by characters with Slash affinity.	斩击属性角色破防伤害提升。	斬屬性角色的破防傷害上升。				
120010211	斬属性キャラの毒状態敵への与ダメージUP	Boosts damage dealt to poisoned enemies by characters with Slash affinity.	斩击属性角色对中毒状态敌人造成伤害提升。	斬屬性角色對中毒狀態的敵人給予傷害上升。				
120010213	斬属性キャラ以外の与ダメージ減少	Reduces damage dealt by characters without Slash affinity.	斩击属性角色以外造成伤害减少。	斬屬性以外角色的給予傷害減少。				
120010214	斬属性キャラ以外の物攻DOWN	Reduces P. ATK of characters without Slash affinity.	斩击属性角色以外物攻下降。	斬屬性以外角色的物攻下降。				
120010215	斬属性キャラ以外の魔攻DOWN	Reduces M. ATK of characters without Slash affinity.	斩击属性角色以外魔攻下降。	斬屬性以外角色的魔攻下降。				
120010216	斬属性キャラ以外の物防DOWN	Reduces P. DEF of characters without Slash affinity.	斩击属性角色以外物防下降。	斬屬性以外角色的物防下降。				
120010217	斬属性キャラ以外の魔防DOWN	Reduces M. DEF of characters without Slash affinity.	斩击属性角色以外魔防下降。	斬屬性以外角色的魔防下降。				
120010218	斬属性キャラ以外の素早さDOWN	Reduces SPD of characters without Slash affinity.	斩击属性角色以外敏捷下降。	斬屬性以外角色的敏捷下降。				
120010219	斬属性耐性DOWN状態の相手へ特攻ダメージ	Boosts Slayer damage to opponents with reduced Slash resistance.	对斩击属性耐性下降状态对手造成特攻伤害。	對斬屬性耐性下降狀態的對象給予特攻傷害。				
120010220	手番開始時プラス効果解除	Nullifies all positive effects at the start of the turn.	回合开始时解除正面效果。	行動回合開始時解除加強效果。	プラス効果解除	Remove Positive Effects	正面效果解除	解除加強效果
120010221	ブレイク時味方全体のHP回復	Restores all allies' HP on stun.	破防时，恢复我方全体HP。	破防時，回復我方全體HP。				
120010222	斬キャラの与えるプラス効果量UP	Boosts potency of positive effects from characters with Slash affinity.	斩击属性的角色给予的正面效果量提升。	斬屬性角色的賦予加強效果量上升。				
120010223	斬属性耐性DOWN状態の相手へ特攻ダメージ	Boosts Slayer damage to opponents with reduced Slash resistance.	对斩击属性耐性下降状态对手造成特攻伤害。	對斬屬性耐性下降狀態的對象給予特攻傷害。				
120010224	手番開始時プラス効果解除	Nullifies all positive effects at the start of the turn.	回合开始时解除正面效果。	行動回合開始時解除加強效果。				
120010225	ブレイク中の敵への斬キャラ与ダメージUP	Boosts Slash damage dealt to stunned enemies.	斩击角色对破防状态敌人造成的伤害提升。	斬屬性角色對破防中的敵人給予傷害上升。				
120010226	ブレイク発生時味方全員HP回復	Restores all allies' HP on successful stun.	破防发动时恢复我方全体HP。	破防發生時回復我方全體HP。				
120010227	ブレイク中の敵への斬キャラ与ダメージUP	Boosts Slash damage dealt to stunned enemies.	斩击角色对破防状态敌人造成的伤害提升。	斬屬性角色對破防中的敵人給予傷害上升。				
120010228	斬キャラの与えるプラス効果量UP	Boosts potency of positive effects from characters with Slash affinity.	斩击属性的角色给予的正面效果量提升。	斬屬性角色的賦予加強效果量上升。				
120010229	打属性キャラの与ダメージUP	Boosts damage dealt by characters with Strike affinity.	打击属性角色造成伤害提升。	打屬性角色的給予傷害上升。				
120010230	打属性キャラのブレイクダメージUP	Boosts stun damage by characters with Strike affinity.	打击属性角色破防伤害提升。	打屬性角色的破防傷害上升。				
